d,popt,gdppc,t,tau,exports,expart_rate,trade_elasticity
ISR,0.0226337337278418,0.5147396602701588,95,1.3064684606113464,4.8991164487372219,0.0569642590865604,4.1217592948559050
ISR,0.0226337337278418,0.5147396602701588,96,1.3064684606113464,4.8991164640946838,0.0569642595843813,4.1217593246084281
ISR,0.0226337337278418,0.5147396602701588,97,1.3064684606113464,4.8991164774705629,0.0569642600171809,4.1217593505219652
ISR,0.0226337337278418,0.5147396602701588,98,1.3064684606113464,4.8991164891205852,0.0569642603934547,4.1217593730919413
ISR,0.0226337337278418,0.5147396602701588,99,1.3064684606113464,4.8991164992674756,0.0569642607205877,4.1217593927498495
ISR,0.0226337337278418,0.5147396602701588,100,1.3064684606113464,4.8991165081052079,0.0569642610049997,4.1217594098714825
ITA,0.2003417713731184,0.6590256342681923,0,1.0763401352751738,122.9319494696930235,0.1013491993389382,0.0000000000000000
ITA,0.2003417713731184,0.6590256342681923,1,0.9687061217476565,187.3677022857689849,0.1013491993389382,4.0000000000000018
ITA,0.2003417713731184,0.6590256342681923,2,0.9687061217476565,187.6097256902987169,0.1189325191898949,4.0122519272243409
ITA,0.2003417713731184,0.6590256342681923,3,0.9687061217476565,187.6096862155750671,0.1184273449472873,4.0122499301882755
ITA,0.2003417713731184,0.6590256342681923,4,0.9687061217476565,187.6720821997146231,0.1189787858512214,4.0154060340362872
ITA,0.2003417713731184,0.6590256342681923,5,0.9687061217476565,187.7309228493029991,0.1192916278811455,4.0183813413208700
ITA,0.2003417713731184,0.6590256342681923,6,0.9687061217476565,187.7865333249861237,0.1195650459827133,4.0211924561817911
ITA,0.2003417713731184,0.6590256342681923,7,0.9687061217476565,187.8368348707882092,0.1197953188469652,4.0237344871647043
ITA,0.2003417713731184,0.6590256342681923,8,0.9687061217476565,187.8814845169008549,0.1199927394817237,4.0259903243964645
ITA,0.2003417713731184,0.6590256342681923,9,0.9687061217476565,187.9206795857306247,0.1201630007595219,4.0279701378197554
ITA,0.2003417713731184,0.6590256342681923,10,0.9687061217476565,187.9548825248687365,0.1203106340794050,4.0296974524297031
ITA,0.2003417713731184,0.6590256342681923,11,0.9687061217476565,187.9846380715785585,0.1204391728310691,4.0311999094591195
ITA,0.2003417713731184,0.6590256342681923,12,0.9687061217476565,188.0104888577753286,0.1205514577289289,4.0325050090343586
ITA,0.2003417713731184,0.6590256342681923,13,0.9687061217476565,188.0329379197297897,0.1206498090606961,4.0336382240110176
ITA,0.2003417713731184,0.6590256342681923,14,0.9687061217476565,188.0524353777679210,0.1207361485586127,4.0346223340445970
ITA,0.2003417713731184,0.6590256342681923,15,0.9687061217476565,188.0693765985013215,0.1208120855157228,4.0354773383268423
ITA,0.2003417713731184,0.6590256342681923,16,0.9687061217476565,188.0841054538161075,0.1208789797892112,4.0362206244383323
ITA,0.2003417713731184,0.6590256342681923,17,0.9687061217476565,188.0969195096394628,0.1209379889790701,4.0368672335714217
ITA,0.2003417713731184,0.6590256342681923,18,0.9687061217476565,188.1080756380525258,0.1209901045331573,4.0374301462820528
ITA,0.2003417713731184,0.6590256342681923,19,0.9687061217476565,188.1177953786808246,0.1210361799031216,4.0379205549388777
ITA,0.2003417713731184,0.6590256342681923,20,0.9687061217476565,188.1262697844179002,0.1210769528673006,4.0383481096570986
ITA,0.2003417713731184,0.6590256342681923,21,0.9687061217476565,188.1336636811267340,0.1211130634859241,4.0387211342912845
ITA,0.2003417713731184,0.6590256342681923,22,0.9687061217476565,188.1401193585187741,0.1211450687253307,4.0390468134501916
ITA,0.2003417713731184,0.6590256342681923,23,0.9687061217476565,188.1457597445615875,0.1211734544992620,4.0393313532467232
ITA,0.2003417713731184,0.6590256342681923,24,0.9687061217476565,188.1506911260413233,0.1211986456770269,4.0395801189962768
